financial_access_F,digital_presence_D,ecommerce_E,risk_finance,risk_digital,risk_ecommerce,fragility_formula,fragility_supplied,omega_1,omega_2,omega_3
0.5,0.975,0.1,0,0,0,0,0,0.6100000000000001,0.44249999999999995,0.6375000000000001
0.5,0.225,0.0,0,1,1,1,0,0.29000000000000004,0.1675,0.2375
0.75,0.8,0.0,0,0,1,0,0,0.6200000000000001,0.39,0.5875
0.75,1.0,0.0,0,0,1,0,0,0.7000000000000001,0.45,0.6875
0.5,0.2,0.0,0,1,1,1,0,0.28,0.16,0.225
0.25,0.15,0.0,0,1,1,1,0,0.16,0.095,0.1375
0.5,0.075,0.0,0,1,1,1,0,0.23,0.1225,0.1625
0.0,0.515,0.4,1,0,0,0,0,0.28600000000000003,0.35450000000000004,0.35750000000000004
0.75,0.4,0.0,0,0,1,0,0,0.4600000000000001,0.27,0.3875
0.5,0.825,0.0,0,0,1,0,0,0.53,0.3475,0.5375
0.75,0.1,1.0,0,1,0,0,0,0.54,0.68,0.4875
0.75,0.2,0.8,0,1,0,0,0,0.54,0.6100000000000001,0.4875
0.75,0.995,0.0,0,0,1,0,0,0.6980000000000001,0.4485,0.685
0.25,0.95,0.85,0,0,0,0,0,0.65,0.76,0.75
0.5,1.0,0.1,0,0,0,0,0,0.6200000000000001,0.45,0.65
0.25,0.1,0.0,0,1,1,1,1,0.14,0.08,0.1125
0.5,0.975,0.2,0,0,0,0,0,0.6300000000000001,0.49249999999999994,0.6625000000000001
0.75,0.4,0.0,0,0,1,0,0,0.4600000000000001,0.27,0.3875
0.25,0.85,0.2,0,0,0,0,0,0.4800000000000001,0.405,0.5375
0.75,0.7,0.8,0,0,0,0,0,0.7400000000000001,0.76,0.7375
0.0,0.35,0.0,1,0,1,1,1,0.13999999999999999,0.105,0.175
0.5,0.2,0.25,0,1,0,0,0,0.33,0.28500000000000003,0.2875
0.5,0.55,0.05,0,0,1,0,0,0.43000000000000005,0.29000000000000004,0.41250000000000003
0.5,0.75,0.0,0,0,1,0,0,0.5,0.32499999999999996,0.5
0.5,0.25,0.6,0,1,0,0,0,0.42000000000000004,0.475,0.4
0.5,0.95,0.0,0,0,1,0,0,0.5800000000000001,0.385,0.6
0.75,0.95,0.3,0,0,0,0,0,0.74,0.585,0.7374999999999999
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
0.5,0.9,0.55,0,0,0,0,0,0.67,0.645,0.7124999999999999
0.0,0.65,0.4,1,0,0,0,0,0.34,0.395,0.42500000000000004
0.0,0.9,0.3,1,0,0,0,0,0.42000000000000004,0.42000000000000004,0.525
0.25,0.65,0.2,0,0,0,0,0,0.4,0.345,0.4375
0.0,0.3,0.4,1,0,0,0,1,0.2,0.29000000000000004,0.25
1.0,0.51,0.2,0,0,0,0,0,0.6440000000000001,0.45299999999999996,0.555
0.75,0.1,0.3,0,1,0,0,0,0.4000000000000001,0.33,0.3125
0.25,0.75,0.9,0,0,0,0,0,0.5800000000000001,0.725,0.6625
0.5,0.775,0.15,0,0,0,0,0,0.54,0.40750000000000003,0.5499999999999999
0.5,0.25,0.0,0,1,1,1,0,0.30000000000000004,0.175,0.25
0.25,0.125,0.0,0,1,1,1,1,0.15000000000000002,0.0875,0.125
0.5,0.075,0.0,0,1,1,1,0,0.23,0.1225,0.1625
0.75,0.95,0.0,0,0,1,0,0,0.68,0.435,0.6625
1.0,0.55,0.0,0,0,1,0,0,0.6200000000000001,0.365,0.525
0.5,0.25,0.4,0,1,0,0,0,0.38000000000000006,0.375,0.35
0.75,0.05,0.3,0,1,0,0,0,0.38000000000000006,0.31500000000000006,0.2875
0.75,0.1,0.7,0,1,0,0,0,0.4800000000000001,0.53,0.4125
0.75,1.0,0.0,0,0,1,0,0,0.7000000000000001,0.45,0.6875
0.0,0.875,0.0,1,0,1,1,0,0.35000000000000003,0.2625,0.4375
1.0,0.95,0.05,0,0,1,0,0,0.79,0.51,0.7374999999999999
0.75,0.9650000000000001,0.3,0,0,0,0,0,0.7460000000000002,0.5895,0.745
0.5,0.1,0.0,0,1,1,1,0,0.24000000000000002,0.13,0.175
0.5,0.85,0.0,0,0,1,0,0,0.54,0.355,0.55
0.0,0.7,0.3,1,0,0,0,0,0.33999999999999997,0.36,0.425
0.75,0.01,0.0,0,1,1,1,0,0.30400000000000005,0.15300000000000002,0.1925
0.5,0.975,0.0,0,0,1,0,0,0.5900000000000001,0.39249999999999996,0.6125
0.75,0.975,0.0,0,0,1,0,0,0.6900000000000001,0.4425,0.675
0.5,0.225,0.0,0,1,1,1,0,0.29000000000000004,0.1675,0.2375
0.25,0.5,0.3,0,0,0,0,0,0.36000000000000004,0.35,0.3875
0.5,0.35,0.2,0,0,0,0,0,0.38,0.30500000000000005,0.35
0.5,0.025,0.4,0,1,0,0,0,0.29000000000000004,0.3075,0.23750000000000002
0.25,0.975,0.0,0,0,1,0,0,0.49,0.34249999999999997,0.55
0.5,0.8,0.0,0,0,1,0,0,0.52,0.33999999999999997,0.525
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
0.75,0.325,0.0,0,0,1,0,0,0.43000000000000005,0.24750000000000003,0.35
0.5,0.95,0.0,0,0,1,0,0,0.5800000000000001,0.385,0.6
0.75,0.2,0.6,0,1,0,0,0,0.5,0.51,0.4375
0.5,0.85,0.0,0,0,1,0,0,0.54,0.355,0.55
0.75,0.99,0.2,0,0,0,0,0,0.7360000000000001,0.547,0.7325
0.75,0.275,0.0,0,1,1,1,0,0.41000000000000003,0.23250000000000004,0.325
0.5,0.275,0.0,0,1,1,1,0,0.31000000000000005,0.1825,0.2625
0.5,0.475,0.8,0,0,0,0,0,0.55,0.6425000000000001,0.5625
0.0,0.8,0.0,1,0,1,1,0,0.32000000000000006,0.24,0.4
0.5,0.0,0.0,0,1,1,1,0,0.2,0.1,0.125
1.0,0.5,0.7,0,0,0,0,0,0.7400000000000001,0.7,0.675
0.75,0.95,0.2,0,0,0,0,0,0.7200000000000001,0.535,0.7125
0.0,0.85,0.0,1,0,1,1,0,0.34,0.255,0.425
0.75,0.95,0.0,0,0,1,0,0,0.68,0.435,0.6625
0.75,0.575,0.4,0,0,0,0,0,0.6100000000000001,0.5225,0.575
0.5,0.475,0.3,0,0,0,0,0,0.45,0.39249999999999996,0.4375
0.5,0.925,0.0,0,0,1,0,0,0.5700000000000001,0.37750000000000006,0.5875
0.5,0.3,0.0,0,0,1,0,0,0.32,0.19,0.275
0.0,0.05,0.0,1,1,1,1,1,0.020000000000000004,0.015,0.025
0.5,0.075,0.0,0,1,1,1,0,0.23,0.1225,0.1625
0.75,0.875,0.0,0,0,1,0,0,0.6500000000000001,0.41250000000000003,0.625
0.25,0.95,0.0,0,0,1,0,0,0.48,0.33499999999999996,0.5375
0.5,0.375,0.5,0,0,0,0,0,0.45000000000000007,0.4625,0.4375
0.0,0.55,0.4,1,0,0,0,0,0.30000000000000004,0.365,0.375
0.75,0.65,0.2,0,0,0,0,0,0.6000000000000001,0.44500000000000006,0.5625
0.5,0.05,0.0,0,1,1,1,0,0.22000000000000003,0.115,0.15
0.5,0.375,0.1,0,0,0,0,1,0.37000000000000005,0.2625,0.3375
0.75,0.05,0.6,0,1,0,0,0,0.44000000000000006,0.465,0.3625
0.75,1.0,0.6,0,0,0,0,0,0.8200000000000001,0.75,0.8375
0.75,0.6,0.5,0,0,0,0,0,0.64,0.5800000000000001,0.6125
0.0,0.9,0.0,1,0,1,1,0,0.36000000000000004,0.27,0.45
0.5,0.05,0.5,0,1,0,0,0,0.32000000000000006,0.365,0.275
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
0.5,0.75,0.0,0,0,1,0,0,0.5,0.32499999999999996,0.5
0.5,0.325,0.2,0,0,0,0,0,0.37,0.2975,0.33749999999999997
0.75,0.2,0.0,0,1,1,1,0,0.38000000000000006,0.21000000000000002,0.2875
1.0,0.9,0.7,0,0,0,0,0,0.9,0.8200000000000001,0.875
0.0,0.35,0.0,1,0,1,1,1,0.13999999999999999,0.105,0.175
0.0,0.55,0.3,1,0,0,0,0,0.28,0.315,0.35000000000000003
0.0,0.5,0.35,1,0,0,0,1,0.27,0.32499999999999996,0.3375
