fragility_supplied,fragility_recovered_rule,h1,h2,h5,c22b,l1,fragility_prob,match
0,0,1,1.0,2,1,10,0.013295408,True
1,1,1,2.0,2,2,13,0.83337283,True
0,0,1,2.0,1,1,304,2.6336633e-05,True
0,0,1,1.0,1,2,4,0.0096811233,True
0,0,2,,2,1,76,0.013295408,True
0,0,1,2.0,1,1,132,2.6336633e-05,True
1,1,2,,2,2,7,0.83337283,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,1,1.0,2,1,60,0.013295408,True
0,0,1,1.0,2,1,379,0.013295408,True
0,0,1,2.0,1,2,11,0.0096811233,True
0,0,1,1.0,2,1,30,0.013295408,True
0,0,1,1.0,2,1,418,0.013295408,True
0,0,1,2.0,1,1,13,2.6336633e-05,True
0,0,1,2.0,1,1,108,2.6336633e-05,True
0,0,2,,2,1,18,0.013295408,True
0,0,2,,2,1,21,0.013295408,True
0,0,2,,1,1,17,2.6336633e-05,True
1,1,2,,2,2,7,0.83337283,True
0,0,1,1.0,1,1,110,2.6336633e-05,True
0,0,1,1.0,1,2,5,0.0096811233,True
0,0,2,,1,1,527,2.6336633e-05,True
0,0,1,1.0,2,1,43,0.013295408,True
0,0,1,2.0,1,2,6,0.0096811233,True
1,1,1,2.0,2,2,5,0.83337283,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,1,1.0,1,1,75,2.6336633e-05,True
0,0,1,1.0,1,1,27,2.6336633e-05,True
0,0,1,1.0,2,2,5,0.83337283,True
0,0,1,1.0,1,2,5,0.0096811233,True
0,0,1,1.0,1,2,6,0.0096811233,True
0,0,1,1.0,1,1,244,2.6336633e-05,True
0,0,2,,2,1,30,0.013295408,True
0,0,1,1.0,1,1,360,2.6336633e-05,True
0,0,1,1.0,1,1,46,2.6336633e-05,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,1,2.0,1,1,460,2.6336633e-05,True
0,0,2,,2,1,232,0.013295408,True
0,0,1,1.0,1,2,7,0.0096811233,True
0,0,1,2.0,1,1,56,2.6336633e-05,True
0,0,1,1.0,1,1,25,2.6336633e-05,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,2,,2,1,37,0.013295408,True
0,0,1,2.0,1,2,10,0.0096811233,True
0,0,1,2.0,1,2,5,0.0096811233,True
