fragility_risk_flex,fragility_prob,change_permanent_employment,change_temporary_employment,revenue_volatility,capacity_utilization_change,internet_for_business,external_finance_assets,delayed_client_payments,late_supplier_payments,digital_platform_difficulty,ecommerce_share,sector,firm_size,manager_experience_years,omega_score,fragility_label,revenue_volatility_binary,digital_platform_difficulty_binary
0,2.6336633e-05,2,,1,2,1,3,20,80,1,10,1,2,15,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,1,1,60,0,2,30,2,1,5,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,4,4,100,0,2,20,1,2,6,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,1,3,30,50,2,10,1,1,3,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,1,4,80,20,1,70,1,3,7,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,4,4,100,0,1,70,1,1,1,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,4,4,45,35,1,10,1,3,5,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,1,1,-9,60,40,2,80,1,2,11,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,1,1,85,15,1,80,1,3,2,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,1,4,60,40,1,25,1,2,20,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,4,10,90,2,100,1,1,5,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,2,2,25,75,2,95,1,2,24,0.0096811233,Non-fragile,0,1
0,0.0096811233,2,,1,2,1,2,70,25,2,30,1,1,12,0.0096811233,Non-fragile,0,1
0,0.83337283,1,1.0,2,2,4,4,60,0,2,50,3,1,2,0.83337283,Non-fragile,1,1
0,2.6336633e-05,1,1.0,1,2,1,3,52,28,1,20,1,3,8,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,75,1,2,25,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,45,0,2,100,2,1,30,0.83337283,Fragile,1,1
1,0.83337283,1,2.0,2,2,4,4,0,0,2,100,1,2,17,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,1,4,60,40,1,10,1,2,15,0.013295408,Non-fragile,1,0
0,2.6336633e-05,2,,1,2,4,2,80,0,1,35,2,1,4,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,4,4,100,0,2,2,2,1,3,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,1,1,50,50,2,20,1,2,6,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,4,4,100,0,2,50,2,2,5,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,4,1,80,15,1,90,2,1,3,0.013295408,Non-fragile,1,0
0,2.6336633e-05,2,,1,2,4,4,80,0,1,80,1,3,95,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,80,3,2,10,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,4,4,100,0,2,70,1,2,10,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,4,4,100,0,2,5,1,2,10,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,4,4,100,0,2,5,1,2,5,0.83337283,Fragile,1,1
0,0.013295408,1,2.0,2,2,3,4,100,0,1,95,1,3,110,0.013295408,Non-fragile,1,0
0,0.0096811233,2,,1,2,3,4,10,90,2,2,1,1,2,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,1,4,50,50,1,50,1,2,16,0.013295408,Non-fragile,1,0
1,0.83337283,2,,2,2,4,4,70,0,2,20,1,2,10,0.83337283,Fragile,1,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,70,3,2,18,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,4,4,80,0,2,50,2,1,2,0.83337283,Fragile,1,1
0,0.013295408,1,2.0,2,2,4,4,100,0,1,80,3,1,6,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,4,1,40,60,1,85,2,1,5,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,2,,1,2,1,1,70,30,1,80,2,1,1,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,4,4,70,0,1,90,2,1,5,0.013295408,Non-fragile,1,0
1,0.83337283,2,,2,2,4,4,70,0,2,80,3,1,5,0.83337283,Fragile,1,1
0,0.0096811233,1,1.0,1,2,1,1,40,40,2,80,3,1,5,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,60,0,1,80,3,1,18,2.6336633e-05,Non-fragile,0,0
0,0.013295408,1,2.0,2,2,4,4,100,0,1,80,3,1,4,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,70,3,2,45,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,1,4,50,50,1,60,3,2,20,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,4,70,30,2,60,3,2,10,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,2,4,50,50,2,20,2,3,30,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,4,4,100,0,1,2,1,2,2,0.013295408,Non-fragile,1,0
0,2.6336633e-05,2,,1,2,1,4,90,10,1,70,1,3,50,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,4,4,100,0,1,20,1,1,6,0.013295408,Non-fragile,1,0
1,0.83337283,2,,2,2,4,4,70,10,2,100,1,1,4,0.83337283,Fragile,1,1
