fragility_risk_flex,omega_score,h1,h2,h5,h8,k82,k162,k3a,k3bc,c22b,k33,a4a,a6a,b6
0,0.1731844,Yes,Yes,No,Yes,No,No,100,0,No,5,Other Services,Small,14
0,0.1731844,Yes,Yes,Yes,Yes,"Yes, both a line of credit and a loan","Yes, both a line of credit and a loan",70,30,Yes,100,Manufacturing,Small,10
0,0.1731844,Yes,Yes,No,No,No,No,60,0,No,50,Other Services,Small,2
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,Yes,70,Other Services,Medium,15
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,60,Manufacturing,Small,5
0,0.1731844,Yes,Yes,Yes,No,"Yes, a line of credit only","Yes, a loan only",60,5,Yes,65,Retail,Medium,11
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,80,Other Services,Small,10
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",40,40,No,80,Other Services,Small,5
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,No,60,Retail,Small,3
0,0.1731844,No,,No,No,"Yes, a loan only",No,80,20,Yes,80,Manufacturing,Medium,8
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only","Yes, a loan only",100,0,No,100,Other Services,Small,5
0,0.1731844,No,,Yes,No,"Yes, a loan only",No,100,0,Yes,90,Other Services,Large,205
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",70,30,Yes,40,Other Services,Medium,12
0,0.1731844,Yes,No,Yes,No,No,"Yes, a loan only",80,20,Yes,95,Other Services,Large,150
0,0.1731844,Yes,No,Yes,No,No,No,70,0,No,40,Manufacturing,Medium,10
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",30,70,No,90,Other Services,Small,2
0,0.1731844,Yes,Yes,No,No,No,"Yes, a loan only",85,15,Yes,55,Retail,Medium,17
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only",No,60,0,No,Don't know (spontaneous),Manufacturing,Medium,50
0,0.1731844,Yes,Yes,Yes,Yes,"Yes, both a line of credit and a loan","Yes, both a line of credit and a loan",80,20,Yes,2,Other Services,Large,10
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",85,15,No,50,Retail,Small,3
0,0.1731844,Yes,No,Yes,Yes,"Yes, both a line of credit and a loan","Yes, a loan only",18,80,Yes,40,Retail,Large,16
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",70,30,Yes,20,Retail,Large,15
0,0.1731844,No,,No,No,No,No,100,0,Yes,70,Retail,Small,5
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",45,55,Yes,80,Other Services,Large,48
0,0.1731844,No,,Yes,No,"Yes, a loan only",No,90,10,Yes,70,Manufacturing,Large,50
0,0.1731844,No,,No,No,"Yes, a loan only",No,80,20,Yes,70,Manufacturing,Large,7
0,0.1731844,Yes,No,Yes,No,No,No,90,0,Yes,85,Other Services,Small,12
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,60,40,No,60,Retail,Small,8
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",50,50,Yes,50,Retail,Small,6
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only","Yes, a loan only",80,5,Yes,10,Other Services,Medium,4
